scenario,year,month,median,upper,lower
hist-nat,1901,Apr,-0.12700277818186834,0.38292599330760013,-0.7870076321187008
hist-nat,1901,Aug,-0.4935441020928373,-0.030941860431357302,-1.043709692934343
hist-nat,1901,Dec,0.6976810997390146,1.2172859412275967,0.2925811105845574
hist-nat,1901,Feb,NA,NA,NA
hist-nat,1901,Jan,NA,NA,NA
hist-nat,1901,Jul,-0.9450727969640091,-0.2280751394282066,-1.7619889552388992
hist-nat,1901,Jun,-0.7919020180638405,-0.21266657250710413,-1.6428229944501616
hist-nat,1901,Mar,NA,NA,NA
hist-nat,1901,May,-0.38984916460790586,0.057002249956501605,-0.9393103591157633
hist-nat,1901,Nov,0.9076499029583189,1.442411793328977,0.4264311145456152
hist-nat,1901,Oct,0.701884678746584,1.194647196015526,0.23715585724819246
hist-nat,1901,Sep,0.018439782351141076,0.45892173853146584,-0.4220160783440288
hist-nat,1902,Apr,-0.09856147702521412,0.40844889347896673,-0.6040827847640889
hist-nat,1902,Aug,-0.6260311693822445,-0.11281567915796807,-1.2518621007990522
hist-nat,1902,Dec,0.6165705753084545,1.2192689402420078,0.040222234321313145
hist-nat,1902,Feb,0.09700514028316931,0.6602727201693583,-0.4563529751072927
hist-nat,1902,Jan,0.4237214821251669,1.0176441498548474,-0.171194416592769
hist-nat,1902,Jul,-1.0362089299705204,-0.26003862097591873,-1.9883247602120115
hist-nat,1902,Jun,-0.7674430577651599,-0.17554483771380294,-1.6238445001571375
hist-nat,1902,Mar,-0.10385926901311215,0.47317798980852827,-0.7173359177902114
hist-nat,1902,May,-0.35561873919255405,0.09655967730429876,-0.9586581757528361
hist-nat,1902,Nov,0.9751660518284702,1.4891598726518764,0.5168665641817063
hist-nat,1902,Oct,0.7755487956469764,1.264780304366229,0.31839051043598177
hist-nat,1902,Sep,0.04001684873232669,0.3391342872423719,-0.46426901544076493
hist-nat,1903,Apr,-0.17428835115889996,0.44618264208566544,-0.841353999642056
hist-nat,1903,Aug,-0.5994773418984529,0.023674581704482694,-1.3080888314803123
hist-nat,1903,Dec,0.6711051031929429,1.1357391873172324,0.2601159887848355
hist-nat,1903,Feb,-0.16552054989404041,0.5557945227637878,-1.0101717732744144
hist-nat,1903,Jan,0.20841808393969075,0.8372045945824482,-0.6090348481833451
hist-nat,1903,Jul,-0.8537724131971416,-0.13126138865105053,-1.6965038746112366
hist-nat,1903,Jun,-0.8164965521543337,-0.1389223223337025,-1.5658135679313827
hist-nat,1903,Mar,-0.14563674080996236,0.46710536243889844,-0.834578373560074
hist-nat,1903,May,-0.4116869528463596,0.030869841863245623,-0.9013229826268364
hist-nat,1903,Nov,0.8063345769092578,1.2793985118391544,0.3896422127998914
hist-nat,1903,Oct,0.5965748781159252,1.0738593248109645,0.0994379995753561
hist-nat,1903,Sep,-0.024363771330717654,0.4496020099729949,-0.42782527135243453
hist-nat,1904,Apr,-0.037079105792390266,0.47941580654543725,-0.5947718686545158
hist-nat,1904,Aug,-0.5919955374756292,-0.06352502121365862,-1.164109129052882
hist-nat,1904,Dec,0.6983032965193594,1.1265478813460055,0.24873946879837328
hist-nat,1904,Feb,0.1385560806220063,0.7550768884318487,-0.4958126982762729
hist-nat,1904,Jan,0.4499295178110643,0.993338536839236,-0.06344153044528618
hist-nat,1904,Jul,-0.9150716679750843,-0.17433305426887977,-1.6984049968554602
hist-nat,1904,Jun,-0.8700520116200003,-0.27020249355118586,-1.5096472245939678
hist-nat,1904,Mar,-0.06020263278348992,0.5667655192342451,-0.7730454509917288
hist-nat,1904,May,-0.4358392621843752,0.026463465196264458,-0.9912891820420199
hist-nat,1904,Nov,0.8539682903697532,1.410163263117716,0.3997079652994759
hist-nat,1904,Oct,0.6427401333987284,1.28356006263933,0.1683542310574623
hist-nat,1904,Sep,0.1143152457289709,0.461357867096602,-0.3601634922990719
hist-nat,1905,Apr,-0.048366598304138364,0.5908858984508294,-0.6468169750893241
hist-nat,1905,Aug,-0.6479151452738421,-0.11106050095303746,-1.2906256839608532
hist-nat,1905,Dec,0.7340845143920056,1.276136641136583,0.23234303244264573
hist-nat,1905,Feb,0.08968032828665251,0.7082517144510346,-0.6201843186149532
hist-nat,1905,Jan,0.3999149899484955,1.0040759275647533,-0.1607636424746861
hist-nat,1905,Jul,-1.0102388906786253,-0.2215936442063463,-1.892863736151743
hist-nat,1905,Jun,-0.8384290378589512,-0.20588541679947914,-1.5121366474587425
hist-nat,1905,Mar,0.0826226432241981,0.6475074812558903,-0.6323988607305405
hist-nat,1905,May,-0.4239904593735453,-0.010064118929185505,-0.9773137887051128
hist-nat,1905,Nov,0.9453684101131365,1.4942485151419607,0.4111854734521941
hist-nat,1905,Oct,0.7777930811466156,1.3642866910900007,0.2813989348854728
hist-nat,1905,Sep,0.09159443867591932,0.44321047689172516,-0.33529172407938856
hist-nat,1906,Apr,-0.17446528821634644,0.34944021113755264,-0.7087256338873633
hist-nat,1906,Aug,-0.6420146588959099,-0.11097201052545827,-1.2539774531080745
hist-nat,1906,Dec,0.757964698272314,1.237382561073457,0.2668888726782644
hist-nat,1906,Feb,0.056611785907676904,0.7114692482828607,-0.5499802990945827
hist-nat,1906,Jan,0.36333662684516455,0.9515739581224135,-0.30658784982041604
hist-nat,1906,Jul,-0.9143755537451739,-0.17128575645126984,-1.6835949073998102
hist-nat,1906,Jun,-0.7652767459372392,-0.13748171549266042,-1.4701792314218267
hist-nat,1906,Mar,-0.08124088886763303,0.4809226308045918,-0.6617667945742145
hist-nat,1906,May,-0.30544659768647264,0.1850618699155537,-0.8592982171697529
