RCP,year,median,upper,lower
rcp26,2015,0.005849332545292185,0.15085283987664386,-0.0839748225768975
rcp26,2016,-0.010965783172562027,0.09353755769474857,-0.1399624489533938
rcp26,2017,0.0034709236365628726,0.1449728819324747,-0.1262037943725481
rcp26,2018,-0.00978690114992986,0.1250182695999321,-0.09232503840898615
rcp26,2019,-0.005993437188127615,0.10096769348935125,-0.11857713153440982
rcp26,2020,-0.014814581926128056,0.09682125494899728,-0.1092499258839748
rcp26,2021,-0.0027725966863840767,0.1351166097900861,-0.12100042098910499
rcp26,2022,-0.004370075381352478,0.10259489816410505,-0.10733533513630675
rcp26,2023,0.0042050885926521175,0.09247403295370339,-0.11543271062289796
rcp26,2024,0.004827819609969808,0.13233744849665635,-0.13203204353405235
rcp26,2025,0.006243608614944662,0.15310259431654102,-0.1263234259948806
rcp26,2026,0.01444880404610771,0.15415170276238113,-0.12067586048568764
rcp26,2027,0.01944898283270291,0.15251434945196535,-0.11404448135533372
rcp26,2028,0.02172852202726716,0.14135821409358407,-0.096563958673757
rcp26,2029,0.022928349568356765,0.13955923622221744,-0.10759059098066785
rcp26,2030,-8.257071334369925e-4,0.15834906470440727,-0.16005608562959672
rcp26,2031,0.007860334865767982,0.16360508055400474,-0.16234384425579407
rcp26,2032,0.014755929553306402,0.18719808643756533,-0.13675133820539784
rcp26,2033,0.01279876696089488,0.1574686010216215,-0.1500079451421305
rcp26,2034,-0.01231419086835217,0.11350048064537109,-0.15882478726263363
rcp26,2035,0.004510603738893337,0.15366273663183558,-0.13679452686797935
rcp26,2036,-0.0031803927556257605,0.1368573984046115,-0.18178731524435834
rcp26,2037,0.004488232988824947,0.18264055921875053,-0.16108599594885592
rcp26,2038,0.031190936197162955,0.2060593419681417,-0.17816327810724247
rcp26,2039,0.010064421647767219,0.15818561322810354,-0.1620673409302423
rcp26,2040,0.004507471477818825,0.18681021490581173,-0.17243405426367212
rcp26,2041,0.012131386374100828,0.1896136437338025,-0.1792032583468682
rcp26,2042,-0.005509518472937458,0.1533209350454527,-0.17906851979537353
rcp26,2043,0.023649175755135587,0.2225224421618215,-0.19867499259420038
rcp26,2044,0.01760921017866579,0.1502606862103576,-0.16243013197489198
rcp26,2045,-0.004809601220291171,0.19467444832598263,-0.19773970728779028
rcp26,2046,-0.006958918664505376,0.1688386923188257,-0.20553370244246133
rcp26,2047,-0.02187100905142003,0.15723042402700993,-0.22560626832233444
rcp26,2048,-0.005060815929589069,0.15758091004399294,-0.21521018574992185
rcp26,2049,0.020270152945190745,0.2037911475605618,-0.19796225495513614
rcp26,2050,0.004961678829753069,0.1850375280398339,-0.21481373059862055
rcp26,2051,0.014696710159498139,0.1734592671771665,-0.1947625615726725
rcp26,2052,0.007847383458194912,0.20239977715840834,-0.18858791374619166
rcp26,2053,-0.005382107149429771,0.2072972798309386,-0.2390659173054468
