scenario,year,month,median,upper,lower
hist-nat,1903,May,-0.4065694188173765,0.05096849350497238,-0.9463750816519028
hist-nat,1903,Nov,0.797653442552928,1.3537215736895956,0.3468655119156031
hist-nat,1903,Oct,0.5852479215851147,1.1432839904696774,0.05713525962097137
hist-nat,1903,Sep,-0.022971109719524208,0.4494154030318828,-0.46308601973749963
hist-nat,1904,Apr,-0.03343557169285205,0.5050529429138558,-0.616954165503407
hist-nat,1904,Aug,-0.5950552744033644,-0.04235880226574927,-1.1897428334143907
hist-nat,1904,Dec,0.6935229587372049,1.1098304870810087,0.2874407460314927
hist-nat,1904,Feb,0.12819926844503726,0.778232073620173,-0.48103722420616074
hist-nat,1904,Jan,0.4497451220082702,1.0026235921595363,-0.06228755492825256
hist-nat,1904,Jul,-0.900679564949975,-0.1624043982310879,-1.7566063278923807
hist-nat,1904,Jun,-0.8674680708805269,-0.24423494821584424,-1.5377801459392544
hist-nat,1904,Mar,-0.05321254350710092,0.554389196185676,-0.7769945071156279
hist-nat,1904,May,-0.4369165774926458,0.06266625754295327,-1.03463241354367
hist-nat,1904,Nov,0.863179760431402,1.4092274335326171,0.3746662420458499
hist-nat,1904,Oct,0.6652161779592802,1.2545109095375713,0.12437920505616037
hist-nat,1904,Sep,0.12659103925955506,0.4532839011979407,-0.40477840107476176
hist-nat,1905,Apr,-0.043183916342272255,0.6071105773483382,-0.6735377372159511
hist-nat,1905,Aug,-0.6441376570099919,-0.061570189760681064,-1.3384890211251486
hist-nat,1905,Dec,0.7458107911208103,1.2452192223930074,0.22605679774117038
hist-nat,1905,Feb,0.10203550424500918,0.6719112019226755,-0.6079528301425464
hist-nat,1905,Jan,0.40154836318553677,0.9478520625133935,-0.12051541078456898
hist-nat,1905,Jul,-1.0017244014762472,-0.21734637780942154,-1.9260046773452812
hist-nat,1905,Jun,-0.8421670449425385,-0.1973945071779888,-1.5036807472837068
hist-nat,1905,Mar,0.08225604119471797,0.6469511675761387,-0.6363892277590324
hist-nat,1905,May,-0.41742598753152294,-0.017046986221002813,-0.9895040917257237
hist-nat,1905,Nov,0.9510843579925137,1.5239353763468126,0.3856528319874333
hist-nat,1905,Oct,0.7866250092833766,1.3686499459703503,0.2563170788762307
hist-nat,1905,Sep,0.095817243517576145,0.4471637686948305,-0.3518456778550931
hist-nat,1906,Apr,-0.1779897934068586,0.40772257060081446,-0.7544560082399847
hist-nat,1906,Aug,-0.6356110716085723,-0.08668243570290893,-1.2963477405685246
hist-nat,1906,Dec,0.7543102953758556,1.2373463904361666,0.27998552545248856
hist-nat,1906,Feb,0.05370861894035883,0.7073891579325803,-0.5534386259963643
hist-nat,1906,Jan,0.35941941271147826,0.9327055537652587,-0.2710141019650589
hist-nat,1906,Jul,-0.9064296103282565,-0.16453357592960088,-1.6970570401856817
hist-nat,1906,Jun,-0.7562389852836979,-0.1230355384729806,-1.5143503335659385
hist-nat,1906,Mar,-0.09119288470045461,0.5525500418596345,-0.7113035194451268
hist-nat,1906,May,-0.2954051297688203,0.23038958997922634,-0.923159175530857
hist-nat,1906,Nov,0.9451270827331122,1.5420829300869472,0.4633396240933493
hist-nat,1906,Oct,0.7604445192194511,1.3798378258648525,0.2243400114066228
hist-nat,1906,Sep,0.03057436639221578,0.42485089408085497,-0.39641673844068775
hist-nat,1907,Apr,-0.10829656791485931,0.466883098852953,-0.7940281697752027
hist-nat,1907,Aug,-0.4582514614611739,0.027406475304517175,-1.085476499537962
hist-nat,1907,Dec,0.8192228028020274,1.3275903734709855,0.34918112518090094
hist-nat,1907,Feb,-0.04276364477108885,0.6127628693194825,-0.7297739190012371
hist-nat,1907,Jan,0.30867552469949544,0.8740950337010182,-0.2627364676972792
hist-nat,1907,Jul,-0.8248055082217292,-0.1434877914976947,-1.618298987199442
hist-nat,1907,Jun,-0.6505964687514485,-0.08185832328662171,-1.439117758490892
hist-nat,1907,Mar,-0.0575733905841993,0.5596292127961802,-0.80751686233994
hist-nat,1907,May,-0.3143936437078061,0.09627310424128076,-0.8456703996679356
hist-nat,1907,Nov,0.9328240691356591,1.4696819889389912,0.45216141502677837
hist-nat,1907,Oct,0.6734742220736898,1.195342116883607,0.17348741066462045
hist-nat,1907,Sep,0.07593604757880001,0.5379245403374402,-0.3799967193379647
hist-nat,1908,Apr,-0.15318844089261674,0.4109608922460062,-0.7043505952281475
hist-nat,1908,Aug,-0.4399494249295799,0.0230993315800286,-1.0444315125533457
hist-nat,1908,Dec,0.7037339880053821,1.1517192147857835,0.3054503579558041
hist-nat,1908,Feb,0.08536999885773966,0.6925246439226881,-0.5984043133800617
hist-nat,1908,Jan,0.44341938245506896,1.0423140190718652,-0.2092912085279611
hist-nat,1908,Jul,-0.9784801669464613,-0.19067648252044253,-1.8632364912618493
hist-nat,1908,Jun,-0.7722076181635984,-0.09469792693341926,-1.4014425993995607
hist-nat,1908,Mar,-0.19428090594024283,0.6120197034483769,-0.9233898884460032
hist-nat,1908,May,-0.34943191742193136,0.2099715970524685,-0.8691892319612119
hist-nat,1908,Nov,1.0033481584356565,1.5563539922182308,0.5031736011738641
hist-nat,1908,Oct,0.6323276926695272,1.311870943723442,0.12083029148314886
hist-nat,1908,Sep,-0.037173750891060564,0.5628933546539668,-0.4074222865550368
hist-nat,1909,Apr,-0.1703574591876702,0.37726001713805996,-0.7386736437407324
hist-nat,1909,Aug,-0.6411106343341935,-0.08917596098122794,-1.394565774885929
hist-nat,1909,Dec,0.7977719192327015,1.2931939422197887,0.35338432584592816
hist-nat,1909,Feb,-0.008133895861856644,0.6145585307230635,-0.7117385388109925
hist-nat,1909,Jan,0.2954309273331184,0.892110438636333,-0.23208422176457047
hist-nat,1909,Jul,-1.0135587005282893,-0.26257372411239854,-1.902447578450957
hist-nat,1909,Jun,-0.7405910812978043,-0.10903641896636916,-1.445417414287213
hist-nat,1909,Mar,-0.07307660499899882,0.5666442942478088,-0.7940878326043638
hist-nat,1909,May,-0.42577873762075313,0.03666967680026422,-0.9430320070450416
hist-nat,1909,Nov,0.9799654657426444,1.5425871612071196,0.49410153944742047
hist-nat,1909,Oct,0.6949687008222192,1.2715824266416598,0.19897489962179712
hist-nat,1909,Sep,0.07238683289919123,0.4624023201802788,-0.4482647717717388
hist-nat,1910,Apr,-0.17535276752699502,0.4183549684350864,-0.8129414474021146
hist-nat,1910,Aug,-0.558387020731292,-0.06329352757080928,-1.2338824256801004
hist-nat,1910,Dec,0.6805210218313107,1.1842176180518826,0.2316027789476049
hist-nat,1910,Feb,0.04763641594333734,0.6187358919802992,-0.6010797975643223
hist-nat,1910,Jan,0.38294561380646996,0.9104486631996501,-0.1276589254568069
hist-nat,1910,Jul,-0.9194776636806345,-0.22625116810439355,-1.710784902107398
hist-nat,1910,Jun,-0.6873444671661737,-0.08657437850341076,-1.2819473719544816
hist-nat,1910,Mar,-0.02223318506735339,0.6166824074816243,-0.7351623441931021
hist-nat,1910,May,-0.41260599039876844,0.09678738207521212,-1.0532061558488768
hist-nat,1910,Nov,0.8918105399300984,1.4925528581419891,0.3867639304518352
hist-nat,1910,Oct,0.6890797945219447,1.2920579727112125,0.16374116257387109
hist-nat,1910,Sep,0.11034828440635991,0.4628885191563046,-0.24524744877845883
hist-nat,1911,Apr,-0.05008669619090966,0.5887020106375195,-0.6807804004597461
hist-nat,1911,Aug,-0.5147717085127592,0.003402978659011651,-1.1244356388028873
hist-nat,1911,Dec,0.7920480504736709,1.2934663195686038,0.36283707805363363
hist-nat,1911,Feb,0.14031414949385024,0.8139704532580271,-0.6418995572447291
hist-nat,1911,Jan,0.46970980685906927,0.9941714980252027,-0.308605571260053
hist-nat,1911,Jul,-0.8143627209617179,-0.10654497557719321,-1.6934643476612334
hist-nat,1911,Jun,-0.679077831684868,-0.054981588290591535,-1.397271677728178
hist-nat,1911,Mar,-0.035520595286371304,0.6890892762519744,-0.7626052074054435
hist-nat,1911,May,-0.27907388028177493,0.20249304127743417,-0.8147674487847854
hist-nat,1911,Nov,0.9816960075869723,1.5397867274334636,0.49580880349095935
hist-nat,1911,Oct,0.8006928852515216,1.4054456866167835,0.3246224920716717
hist-nat,1911,Sep,0.12938009361080205,0.5071962093846901,-0.3546897655675897
hist-nat,1912,Apr,-0.13016940098191299,0.39224230968806334,-0.6789681740055555
hist-nat,1912,Aug,-0.48285788479221026,0.009926062754837416,-1.1681651427164916
hist-nat,1912,Dec,0.7362245395409346,1.2781519999187656,0.1541003554957648
hist-nat,1912,Feb,0.13276091536175372,0.7351673400441432,-0.4705557836001233
hist-nat,1912,Jan,0.4591812626334466,0.9584477672261944,-0.013028247697103265
hist-nat,1912,Jul,-0.797908020617939,-0.09529724928802896,-1.6922427802547186
hist-nat,1912,Jun,-0.7317993324121197,-0.05749832475777383,-1.4799336765324123
hist-nat,1912,Mar,0.03194188729617409,0.6841144489675461,-0.6673854943542161
hist-nat,1912,May,-0.35630465349174756,0.126449451959956,-0.9471025153561307
hist-nat,1912,Nov,0.9274404872708537,1.4819833280003327,0.4465471921813684
hist-nat,1912,Oct,0.7276297312192668,1.339539392630564,0.14587441621143746
hist-nat,1912,Sep,0.12898226546912284,0.5648110640593494,-0.26679549063534225
hist-nat,1913,Apr,-0.18678751541850502,0.4320431600016346,-0.8591178158583954
hist-nat,1913,Aug,-0.6202598630629197,-0.039314581343918145,-1.2619364346008068
hist-nat,1913,Dec,0.7652243993597985,1.2307751876634012,0.37019853141312015
hist-nat,1913,Feb,0.015053680020763238,0.6139752201510162,-0.7407308834210674
hist-nat,1913,Jan,0.3534342365800569,0.9044731458611492,-0.23624063165072523
hist-nat,1913,Jul,-0.9815056826354436,-0.19211384115456365,-1.820889344541336
hist-nat,1913,Jun,-0.6825474871570059,-0.050012949076093015,-1.3634885233942498
hist-nat,1913,Mar,-0.10517093058646054,0.5437276172873011,-0.861713446737184
hist-nat,1913,May,-0.41281595817174477,0.1045437119242869,-1.0226618052903116
hist-nat,1913,Nov,1.011432424362546,1.6423430103530603,0.503867913263883
hist-nat,1913,Oct,0.6606909502862024,1.4480286634970312,0.16466206301953618
hist-nat,1913,Sep,0.038085318783636524,0.46858739376258196,-0.47595326863071497
hist-nat,1914,Apr,-0.013853222559006895,0.507076444231715,-0.6126476983702652
hist-nat,1914,Aug,-0.5415532825635658,-0.050145114849360704,-1.2097198896895174
hist-nat,1914,Dec,0.7368085177613892,1.2697846263455488,0.1711837485582869
hist-nat,1914,Feb,0.0391382742448414,0.6473732247374826,-0.6626860876722809
hist-nat,1914,Jan,0.4011159183086228,0.9641214930106644,-0.16113136023566843
hist-nat,1914,Jul,-0.8596449777063384,-0.16549412561235874,-1.6698829608924655
hist-nat,1914,Jun,-0.7239427049825302,-0.12111902242218954,-1.415919701036666
hist-nat,1914,Mar,-0.06476310302234012,0.5095439521300178,-0.7979396518234367
hist-nat,1914,May,-0.37474752923566257,0.05719691548908826,-0.8279935592002418
hist-nat,1914,Nov,0.8658906324772069,1.4949747828037647,0.33863647601157076
hist-nat,1914,Oct,0.6497792396876392,1.2840546361802694,0.08156085074267559
hist-nat,1914,Sep,0.12963209300672318,0.5090934138627204,-0.45490139908415833
hist-nat,1915,Apr,-0.11362167557955871,0.40985011067084726,-0.6793976211049471
hist-nat,1915,Aug,-0.5584025323264896,-0.030979816564065475,-1.2382874998871578
hist-nat,1915,Dec,0.779483123051147,1.2243018944534787,0.3304811881760028
hist-nat,1915,Feb,0.16433010095219913,0.7187100361350487,-0.4599054496618432
hist-nat,1915,Jan,0.39814980187594173,0.8604010906294799,-0.12316745372732497
