scenario,year,median,upper,lower
hist,1901,-0.04028641665379595,0.11754307593413182,-0.19633353803104753
hist,1902,0.04525320600214755,0.18357331020594567,-0.0925423904625866
hist,1903,-0.04536971367102538,0.07053744603523378,-0.16321532984697917
hist,1904,-0.011079679570993761,0.10770200407466882,-0.14096335302744725
hist,1905,-0.015485106869672194,0.11019539453268261,-0.1267360894772171
hist,1906,-0.0052463659838295484,0.11837714384527044,-0.10287069535908379
hist,1907,-0.014598868793633812,0.0861382783057589,-0.18003652415409946
hist,1908,0.011772553598550672,0.09459503499825847,-0.04221707554249274
hist,1909,0.0218325825394885,0.14032842023219966,-0.10584523138465655
hist,1910,0.01101716874744696,0.11651329757052266,-0.10372811260100148
hist,1911,-0.001447510064593871,0.1204018858859605,-0.15783813760991344
hist,1912,0.014991595825115667,0.15909030860335985,-0.08770587917592323
hist,1913,-0.0038277306280694035,0.07173598167004797,-0.11395222704261662
hist,1914,-0.020324237956565128,0.07746368831567874,-0.25081567933731247
hist,1915,-0.010638832102547013,0.08519479451030632,-0.10816678456100987
hist,1916,0.028559625023287794,0.14031959223659066,-0.11489432524355081
hist,1917,-0.004171557394698766,0.15383214731643338,-0.1477678588903096
hist,1918,-0.0078074364969147325,0.0728722658842595,-0.135342231813231
hist,1919,0.01156994511211451,0.16693410596985273,-0.13785217704788197
hist,1920,-0.029950977348324415,0.1044579012291432,-0.15751625620527357
hist,1921,0.023855720180470996,0.1448210724175993,-0.07941839443732128
hist,1922,0.0022115657304233594,0.11599104596395793,-0.15608176350860603
hist,1923,0.019715695229058028,0.1426621160629462,-0.07185056368072953
hist,1924,0.005105474078849426,0.13105261995525935,-0.1049825531684835
hist,1925,0.009983102043864989,0.11675626107776434,-0.14025628915746607
hist,1926,0.0022993368707631134,0.1417634498982497,-0.1863909614133668
hist,1927,-0.002164475878863925,0.07655186224681357,-0.11491950523073502
hist,1928,0.01778261988728147,0.2676287003123466,-0.12732629743131377
hist,1929,0.028868337093111762,0.13963234215279774,-0.1395124884520012
hist,1930,0.032694863943616426,0.1285286967940833,-0.09779814266759423
hist,1931,-0.02227905999641422,0.10927955778613734,-0.14725875400330804
hist,1932,-0.03758816109949947,0.0997324062513918,-0.1674648687745915
hist,1933,0.050883795697043155,0.1517955506560077,-0.064289575553261
hist,1934,0.020106950208173657,0.21514512303228514,-0.11690620489140499
hist,1935,0.03800272673688809,0.16432154872553892,-0.11989064615560992
hist,1936,0.02175799884287244,0.16220137990083394,-0.06119456964489167
hist,1937,-0.016002376502772364,0.13689530620389578,-0.1419986135541098
hist,1938,0.009530740930859594,0.12469284037169145,-0.11567109950145919
hist,1939,0.03455188333221315,0.15730180066164887,-0.09386003359818584
hist,1940,0.0063020576739525325,0.15556326038449197,-0.22328332987068508
hist,1941,0.02683057106776232,0.15047186997888812,-0.10958615308244751
hist,1942,0.02892755083716203,0.31692349033599343,-0.12324541154207652
hist,1943,0.015965419055348207,0.1805318262391068,-0.1062747506448744
hist,1944,0.03695077477593145,0.2385088093040013,-0.08695239551352892
hist,1945,0.015550162344048601,0.14903044869687282,-0.10694898609351212
hist,1946,-0.0030538596696558784,0.13875792421838642,-0.13712705153927052
hist,1947,0.028604834377187416,0.1451813015610635,-0.09258268180410524
hist,1948,0.025937967371671533,0.18725677016493994,-0.1254867493168776
hist,1949,0.06206369392475963,0.21220480176072942,-0.09925672054182258
hist,1950,0.0042905165604913975,0.1909581264460369,-0.15178264797514274
hist,1951,0.03299585308264241,0.19560245457489167,-0.14909639106195147
hist,1952,0.02945054103055611,0.15466240743016008,-0.10452748160051789
hist,1953,-0.04067958476572997,0.12143402204702691,-0.19269469974707576
hist,1954,2.966094212659698e-4,0.13463416764411912,-0.1329370437664508
hist,1955,0.04014427433279977,0.22473972670720327,-0.06470250774584708
hist,1956,0.026345672169039602,0.21974408197766868,-0.14623042483761955
hist,1957,0.0042417840345514435,0.1899758662535272,-0.14820797848993728
hist,1958,0.009356874824231198,0.14427597576498277,-0.14621959480919172
hist,1959,0.05109189791467372,0.20726196510813005,-0.08471823941991606
hist,1960,0.02111697080674091,0.15418275338029502,-0.10415865329245513
hist,1961,0.017000258827120973,0.14923075243149236,-0.14253440152047503
hist,1962,0.028151425048321244,0.1999473239774776,-0.12419067058907735
hist,1963,-0.028170650675491515,0.07311464213045323,-0.19639866560606142
hist,1964,0.013104404843513606,0.14828974475355203,-0.10774024296077442
hist,1965,-7.481558175381764e-4,0.18922112168938485,-0.16459857041567466
hist,1966,0.04771536988703318,0.22482483889044289,-0.10309623266803918
hist,1967,-0.007317259145057875,0.12001597373241027,-0.1435391820775717
hist,1968,-0.012694297297709767,0.13281497455789687,-0.2624265056919118
hist,1969,0.012475464702674799,0.24714039688586406,-0.24776914321526552
hist,1970,0.050235858659331,0.19100969407135393,-0.0818253645978686
hist,1971,0.04783032051716063,0.18183702330275173,-0.11112616394081556
hist,1972,0.02292237620977744,0.2123957906584909,-0.16072344256881302
hist,1973,0.03857796798833135,0.23144834619529167,-0.12562386454951627
hist,1974,0.05078374096986238,0.1955866003659959,-0.10912376557402706
hist,1975,0.005183169777343011,0.17861866385082403,-0.12163137854117956
hist,1976,0.025911661339382164,0.2079613700117728,-0.13812829539731375
hist,1977,0.06190580366834908,0.2605000127851134,-0.07115171516074294
hist,1978,0.037918792832389414,0.22174867123421008,-0.15151131442812052
hist,1979,0.0315710440921535,0.21059340303500562,-0.1583078053991146
hist,1980,0.02299401204187035,0.22642512672711024,-0.18472171924872985
