scenario,region,year,median,upper,lower
ssp126,Sub-Saharan Africa (Central),2015,0.006769717156977606,0.2164131528819851,-0.23662340643382612
ssp126,Sub-Saharan Africa (Central),2016,0.04366737155153544,0.1930082463997209,-0.12825825613080966
ssp126,Sub-Saharan Africa (Central),2017,-0.043116188777666764,0.16079824900708117,-0.1750172451031613
ssp126,Sub-Saharan Africa (Central),2018,0.009612267537528751,0.13763732989016042,-0.14558406253472284
ssp126,Sub-Saharan Africa (Central),2019,-0.010348458844113395,0.08061801371094213,-0.15294819903178264
ssp126,Sub-Saharan Africa (Central),2020,0.011983475344704786,0.16265485752930106,-0.1584571836348374
ssp126,Sub-Saharan Africa (Central),2021,0.0023685057556797062,0.12010961475415685,-0.231613674608983
ssp126,Sub-Saharan Africa (Central),2022,0.03200405553014818,0.2608676987208699,-0.22185235326035657
ssp126,Sub-Saharan Africa (Central),2023,-0.06917221833850107,0.15702318276454055,-0.3230861754500722
ssp126,Sub-Saharan Africa (Central),2024,-0.03285924799596174,0.19075052650882818,-0.22522018903826488
ssp126,Sub-Saharan Africa (Central),2025,0.051233720377197756,0.21987972079953655,-0.13210810350912539
ssp126,Sub-Saharan Africa (Central),2026,0.03871551753230307,0.2732903335174685,-0.20083746953888948
ssp126,Sub-Saharan Africa (Central),2027,-0.033216079327381465,0.1685795625516351,-0.23510014068034193
ssp126,Sub-Saharan Africa (Central),2028,-0.024373758204564666,0.11318041956611888,-0.22131707324066846
ssp126,Sub-Saharan Africa (Central),2029,-0.004313209827611075,0.22018817352437267,-0.21542062917045152
ssp126,Sub-Saharan Africa (Central),2030,-0.02962223919198692,0.2788085564221001,-0.2170046577297937
ssp126,Sub-Saharan Africa (Central),2031,0.02490857472854202,0.2757362227942056,-0.14550980157706733
ssp126,Sub-Saharan Africa (Central),2032,-0.010583921489796921,0.2406586125895281,-0.23249356560017562
ssp126,Sub-Saharan Africa (Central),2033,6.594320694013334e-4,0.2262866642726544,-0.32284704309613477
ssp126,Sub-Saharan Africa (Central),2034,-0.04346870478452658,0.16947284054331246,-0.2529095935751375
ssp126,Sub-Saharan Africa (Central),2035,0.032887688310569985,0.2589199971548313,-0.24371796991133082
ssp126,Sub-Saharan Africa (Central),2036,0.012233613099297713,0.2506109958742192,-0.19497960507824122
ssp126,Sub-Saharan Africa (Central),2037,-0.05089820681687485,0.20544354910994742,-0.33556829969054486
ssp126,Sub-Saharan Africa (Central),2038,0.010028498646999395,0.3505843278488305,-0.20605892358549055
ssp126,Sub-Saharan Africa (Central),2039,0.006888006124814439,0.2794654796832261,-0.2417833323904027
ssp126,Sub-Saharan Africa (Central),2040,-0.02028448824488649,0.22515087839060433,-0.22230334979240673
ssp126,Sub-Saharan Africa (Central),2041,-0.04089144571734238,0.23340144062196577,-0.2802080392261107
ssp126,Sub-Saharan Africa (Central),2042,-0.04420249491789363,0.2026492008361023,-0.2612003614535089
ssp126,Sub-Saharan Africa (Central),2043,-0.013149106828183932,0.2397308605932461,-0.3287175854701271
ssp126,Sub-Saharan Africa (Central),2044,-0.012413613350254593,0.22978245810261647,-0.25071178143593686
ssp126,Sub-Saharan Africa (Central),2045,-0.004311127280523408,0.30795617836901945,-0.30927348305283325
ssp126,Sub-Saharan Africa (Central),2046,-0.022758052811290952,0.2218489986033624,-0.22994005087342728
ssp126,Sub-Saharan Africa (Central),2047,-0.02023461469037713,0.18758624936389548,-0.29011144706560826
ssp126,Sub-Saharan Africa (Central),2048,0.005016055785851847,0.20907761204130354,-0.29983079155796977
ssp126,Sub-Saharan Africa (Central),2049,-4.010868351755903e-4,0.21262447604448692,-0.3308409352807384
ssp126,Sub-Saharan Africa (Central),2050,-0.053861799772274566,0.20955968055985963,-0.2994522602905045
ssp126,Sub-Saharan Africa (Central),2051,-0.07292457512340178,0.18277021426918474,-0.33938008539302966
ssp126,Sub-Saharan Africa (Central),2052,-0.0020161942406531352,0.2948884649908517,-0.32382676723314463
ssp126,Sub-Saharan Africa (Central),2053,-0.056587093445271464,0.19634473550548356,-0.3367064731963147
ssp126,Sub-Saharan Africa (Central),2054,-0.005670780306893164,0.27523179236863515,-0.36910392910596296
ssp126,Sub-Saharan Africa (Central),2055,-0.05236877451422828,0.24445243070195835,-0.2872118014179648
ssp126,Sub-Saharan Africa (Central),2056,0.017351929881751715,0.2978699876153928,-0.3199068972909753
ssp126,Sub-Saharan Africa (Central),2057,-0.012563053809184765,0.23997396979529806,-0.3161182788127306
ssp126,Sub-Saharan Africa (Central),2058,-0.08170935777477695,0.22176471431538974,-0.36538222054390096
ssp126,Sub-Saharan Africa (Central),2059,-0.007672041779322569,0.2845740527405972,-0.2881673842821296
ssp126,Sub-Saharan Africa (Central),2060,-0.058486069434092514,0.22077697180798778,-0.3610438981442478
ssp126,Sub-Saharan Africa (Central),2061,-0.05898682031148361,0.25915544212580205,-0.4141581371126568
ssp126,Sub-Saharan Africa (Central),2062,-0.05897665796637597,0.1851839041126649,-0.387487450299998
ssp126,Sub-Saharan Africa (Central),2063,-0.05533016704150384,0.18383272123997255,-0.4016980758083185
ssp126,Sub-Saharan Africa (Central),2064,0.0057820828082242315,0.28982892409002003,-0.35851235169674833
ssp126,Sub-Saharan Africa (Central),2065,-0.006436351929949069,0.2843800761197732,-0.3178177922474236
ssp126,Sub-Saharan Africa (Central),2066,-0.0338584583455237,0.2475295763563622,-0.3250316140321608
ssp126,Sub-Saharan Africa (Central),2067,-0.009867285837749762,0.3128015720918168,-0.39781115875272904
