scenario,year,median,upper,lower
ssp126,2015,0.015570541106924907,0.19527490100500108,-0.18935662402762715
ssp126,2016,0.03544522796450522,0.17128841429705052,-0.06519141819059016
ssp126,2017,-0.00914298402310365,0.06699522260743361,-0.10803193037003744
ssp126,2018,-0.02180327581537611,0.06940233977919832,-0.11360495264619282
ssp126,2019,-0.017265075553858367,0.082263169031593,-0.13142883673899775
ssp126,2020,-0.06276496107751939,0.10558633324252432,-0.25292131883714825
ssp126,2021,-0.009295243352717364,0.17272361632054217,-0.2226525992828451
ssp126,2022,-0.003282392052842198,0.11383548988326984,-0.2135557510291381
ssp126,2023,-0.047561490360134684,0.08524771093091663,-0.26082262262621875
ssp126,2024,-0.037423154119011315,0.11737443047081998,-0.22254783862792707
ssp126,2025,-0.011275763786237292,0.1706121469208774,-0.1656388049531099
ssp126,2026,-0.005186635444269783,0.16598416997345106,-0.24018556354299464
ssp126,2027,-0.0244564614775733,0.09884979535189466,-0.2748444511349717
ssp126,2028,-0.0629814676762308,0.1280719427543515,-0.2203564093229673
ssp126,2029,-0.05094211758973444,0.1332986711685599,-0.24211758154751234
ssp126,2030,-0.055131696769720406,0.10104760433717994,-0.26332038757150683
ssp126,2031,-0.03965793279638774,0.15270464551326268,-0.26248567912198517
ssp126,2032,-0.08486785485350623,0.11847887273919569,-0.33779139242578715
ssp126,2033,-0.039931090475420206,0.12264721537369133,-0.25503989014303696
ssp126,2034,-0.04387897718103062,0.11637227248337749,-0.23827729300083292
ssp126,2035,-0.06116366317082722,0.1247036993619363,-0.2912616244258011
ssp126,2036,-0.06132590175955155,0.13282709273206092,-0.2835970790407192
ssp126,2037,-0.08448046410791932,0.11743791128464123,-0.438501665205753
ssp126,2038,-0.06743692853735794,0.1262131603480045,-0.308073088038606
ssp126,2039,-0.06446069755378758,0.12891892468205762,-0.2897092297236185
ssp126,2040,-0.064089760589507,0.12782328090523387,-0.3448656105536445
ssp126,2041,-0.045834018912582764,0.1506127542817655,-0.29422682492022817
ssp126,2042,-0.07118384805342615,0.16467990204631347,-0.3205687068827828
ssp126,2043,-0.05663053722661715,0.16977394395103182,-0.42021698265940227
ssp126,2044,-0.07326105415009465,0.15372719933050535,-0.31553670080306057
ssp126,2045,-0.03372313467306043,0.20076752198880993,-0.3337029375849388
ssp126,2046,-0.09213690463849389,0.13169274012694626,-0.36990114687855885
ssp126,2047,-0.045465234667405596,0.11801467620222703,-0.34016436936352323
ssp126,2048,-0.10749922837121417,0.10131166502417478,-0.44150404612642186
ssp126,2049,-0.05699498365180489,0.162219429353696,-0.36661028073372004
ssp126,2050,-0.07318759913955475,0.17289737145382983,-0.3583318896244098
ssp126,2051,-0.08487115575182003,0.1704128628689797,-0.3736868232137983
ssp126,2052,-0.08963513684095936,0.1428928193048502,-0.3946664974323987
ssp126,2053,-0.0955316031688831,0.16054509518855795,-0.41531417413738225
ssp126,2054,-0.07975225433594346,0.15468414254422944,-0.4899255884429941
ssp126,2055,-0.07345251764129301,0.09859482837784608,-0.34444632385445106
ssp126,2056,-0.059147365896272674,0.16693715500829587,-0.44288430483776897
ssp126,2057,-0.11528636270000803,0.1326731008019699,-0.4457699860797184
ssp126,2058,-0.10458690471749321,0.10706406845246688,-0.42847386668547816
ssp126,2059,-0.06959752975095057,0.13140476746608076,-0.42004055665283707
ssp126,2060,-0.10856879755846904,0.1545568763762659,-0.46474534741237356
ssp126,2061,-0.07593527097383301,0.16171987533354215,-0.5030538805441275
ssp126,2062,-0.08165919157177726,0.16214993956146062,-0.49186537429366906
