scenario,year,month,median,upper,lower
ssp126,2015,Apr,-0.40033207723296016,0.13268926441037218,-0.9913229524846127
ssp126,2015,Aug,-0.2607357427133241,0.28774690384170915,-0.989529321543606
ssp126,2015,Dec,0.8925105133873181,1.3623340788806486,0.43301650898732724
ssp126,2015,Feb,NA,NA,NA
ssp126,2015,Jan,NA,NA,NA
ssp126,2015,Jul,-0.5579485848667503,0.11420526120156245,-1.2560907752384356
ssp126,2015,Jun,-0.6439420193237311,-0.06387022240849922,-1.26781904731968
ssp126,2015,Mar,NA,NA,NA
ssp126,2015,May,-0.5480148163929526,-0.04648120447601707,-1.0587987686476807
ssp126,2015,Nov,0.8521533805794768,1.6956736283091458,0.3383487326957819
ssp126,2015,Oct,0.6626163492844732,1.253348050372242,-0.08133057463947088
ssp126,2015,Sep,0.1699120015876403,0.677592957980951,-0.38741696841104484
ssp126,2016,Apr,-0.34447884344381663,0.18117566230486443,-0.9827749055861801
ssp126,2016,Aug,-0.26995692361747814,0.3450896119457174,-0.9238905891056138
ssp126,2016,Dec,0.8347974351940266,1.3576174557455527,0.37551660831266676
ssp126,2016,Feb,0.033214629413148344,0.5860193336823232,-0.5213084658781675
ssp126,2016,Jan,0.5181447365824958,1.0502420899942677,-0.005845899425481969
ssp126,2016,Jul,-0.4920930513649928,0.13720582414949523,-1.1976678460959664
ssp126,2016,Jun,-0.49315529789552315,0.09092215465857864,-1.118670622732478
ssp126,2016,Mar,-0.27978315917354024,0.2731498954411815,-0.8876615712269477
ssp126,2016,May,-0.481511572344413,-0.021632671468344012,-0.9507760968286987
ssp126,2016,Nov,0.8110384862315634,1.6248928447826378,0.2806233488787781
ssp126,2016,Oct,0.5631876613774942,1.1799176645549263,0.06893266881924305
ssp126,2016,Sep,0.08875127434296104,0.5991048834250328,-0.4376831551966418
ssp126,2017,Apr,-0.445704769015002,0.10270155665784823,-1.0449083428967043
ssp126,2017,Aug,-0.3570621199849384,0.13392732008639624,-0.9074958164837535
ssp126,2017,Dec,0.7956098586323286,1.262614642867739,0.38249159090480733
ssp126,2017,Feb,-0.07877600779123739,0.5213744516855355,-0.7489524788454751
ssp126,2017,Jan,0.5207828921915798,1.18233413064638,-0.014227213793938626
ssp126,2017,Jul,-0.6031107910580182,0.12032088909611625,-1.418575173760086
ssp126,2017,Jun,-0.6316242539663435,-0.0869271023581687,-1.243097333370511
ssp126,2017,Mar,-0.34344029726533876,0.25406179354311675,-0.9894785685489388
ssp126,2017,May,-0.46610685242046657,-0.04498649698319636,-0.9665153592382345
ssp126,2017,Nov,0.7829098031229371,1.36915276047876,0.3230647782664289
ssp126,2017,Oct,0.5931491176665098,1.1867884076670565,0.05823771808494867
ssp126,2017,Sep,0.11697210378032352,0.6341543401110228,-0.4155448069741784
ssp126,2018,Apr,-0.4695781183974823,0.1595990759644954,-1.214668965311932
ssp126,2018,Aug,-0.4219379777966239,0.1682607024981166,-1.041737388554413
ssp126,2018,Dec,0.8359776313786824,1.340306186183827,0.362710324039276
ssp126,2018,Feb,1.1273810509138116e-4,0.5114498575238311,-0.6746357665064564
ssp126,2018,Jan,0.46721462474000575,0.9668267275290279,0.006103152747977531
ssp126,2018,Jul,-0.6053187949532557,0.06588918169019943,-1.340403166677042
ssp126,2018,Jun,-0.5868751025501115,0.04831435943988583,-1.1882583087022869
ssp126,2018,Mar,-0.2740684387170127,0.3215725039645867,-0.9524162827728823
ssp126,2018,May,-0.5503496878737408,-0.04146816870528164,-1.129820309719228
ssp126,2018,Nov,0.7660161785654971,1.3285583343974272,0.17443315199199
ssp126,2018,Oct,0.5791116483656893,1.1619848416294154,-0.015361455106638262
ssp126,2018,Sep,0.08387601796306043,0.5963608425612249,-0.39226734101398436
ssp126,2019,Apr,-0.5854640525580699,0.06471689041971157,-1.2163087712420169
ssp126,2019,Aug,-0.3247406692502146,0.1139723088568396,-0.9025168299189922
ssp126,2019,Dec,0.8344185142489202,1.2832554071224072,0.41111388734176446
ssp126,2019,Feb,-0.021405651288310068,0.5559943261057195,-0.6819735817799416
ssp126,2019,Jan,0.5182017854643419,1.0490705461388175,0.02128892414579943
ssp126,2019,Jul,-0.530565171287062,0.08088960658868626,-1.1714247818294954
ssp126,2019,Jun,-0.5202299087757005,0.07950908314324832,-1.1100701358320975
ssp126,2019,Mar,-0.3729212636107633,0.2450739215122019,-1.0973913243329243
ssp126,2019,May,-0.6352213656082988,-0.12095927335636646,-1.1449857738879972
ssp126,2019,Nov,0.8370351683271746,1.3983558677253787,0.36111121396421453
ssp126,2019,Oct,0.5320429781140774,1.0377714109908218,-0.03294177372040892
ssp126,2019,Sep,0.06844670617210369,0.44072846368812146,-0.3018696620696435
ssp126,2020,Apr,-0.5566738402424072,0.05199374245964954,-1.2801633659606562
ssp126,2020,Aug,-0.37680080516447134,0.016954249090400258,-0.849387548656588
ssp126,2020,Dec,0.8550939884072903,1.2755692560414218,0.44641212262234475
ssp126,2020,Feb,-0.16849304843202617,0.40808920339410903,-0.7634913970974206
ssp126,2020,Jan,0.43474455634228804,1.0006992078674377,-0.05175393290926706
ssp126,2020,Jul,-0.5881778748685633,-0.03484458867649594,-1.1989370259122871
ssp126,2020,Jun,-0.5203855508921436,-0.033712327764392765,-1.080916674429453
ssp126,2020,Mar,-0.47014410116328165,0.27838721297524344,-1.2344529832726774
ssp126,2020,May,-0.5148973427018042,0.003008394995462954,-1.0467803101082336
ssp126,2020,Nov,0.7409636650818463,1.2426620492722806,0.3195115031098098
ssp126,2020,Oct,0.39204380249039517,0.9425948159429289,-0.047326806471154365
ssp126,2020,Sep,0.023909954531404765,0.36744486695213535,-0.32530303294904356
ssp126,2021,Apr,-0.5243402365615992,0.017926120268802387,-1.2405869759577894
ssp126,2021,Aug,-0.22210477144215446,0.18898187666871805,-0.7051870963600411
ssp126,2021,Dec,0.8621417475070139,1.3356140662133047,0.4242665589562437
ssp126,2021,Feb,-0.026078175578511775,0.5424025570274544,-0.6696979867093867
ssp126,2021,Jan,0.5509566486425754,1.062598159365228,0.0517028256177014
ssp126,2021,Jul,-0.5651574909319734,0.018119852295956612,-1.1660092789972125
ssp126,2021,Jun,-0.6045431412916464,-0.06434033678786691,-1.243760063249834
ssp126,2021,Mar,-0.310144869656213,0.37438871176463473,-1.0993038224247027
ssp126,2021,May,-0.6720963171553755,-0.11340241728976663,-1.1659033779608896
ssp126,2021,Nov,0.7516270316772484,1.3530174406426905,0.2717651578350907
ssp126,2021,Oct,0.46499556194846114,1.117356324728348,-0.0982855077803208
ssp126,2021,Sep,0.09142699893455486,0.7327350077413355,-0.3715541070629394
ssp126,2022,Apr,-0.4921787275861327,0.0737624591884775,-1.2460696028575826
ssp126,2022,Aug,-0.3244353944810534,0.1616995539499386,-0.9433982172444804
ssp126,2022,Dec,0.8103623866083964,1.2734539399856144,0.37957738046422806
ssp126,2022,Feb,-0.07486667200221575,0.5336451663280599,-0.767749611971427
ssp126,2022,Jan,0.591880350636206,1.1380780936063093,0.047914262805084665
ssp126,2022,Jul,-0.5057485412667759,0.09315152544196034,-1.124069752661191
ssp126,2022,Jun,-0.5842083564348037,-0.029561670530803365,-1.1992479420077558
ssp126,2022,Mar,-0.4390583200725189,0.16646773379351903,-1.063229131514739
ssp126,2022,May,-0.4440506930810173,0.03727251461930603,-1.026394930898277
ssp126,2022,Nov,0.8170683507219607,1.3822541193447946,0.27350490901257735
ssp126,2022,Oct,0.5137827018288945,1.01204297170971,-0.16707121382451
ssp126,2022,Sep,0.03315355081287308,0.4431710643766839,-0.5453234363816264
ssp126,2023,Apr,-0.4584230268729321,0.035171971675831526,-1.0255339094517575
ssp126,2023,Aug,-0.2963038750992233,0.14913907640117177,-0.8797469044449869
